,x_axis,value,OTG,UTG,SOLL,value_mean,value_std+,value_std-,mean_rolling,mean_rolling2,std_rolling+,std_rolling-
0,1,44.86569054,95,50,60,60.90079102078572,81.92650283251335,39.875079209058086,44.86569054,44.86569054,69.40294806472654,20.32843301527346
1,2,93.19446612,95,50,60,60.90079102078572,81.92650283251335,39.875079209058086,69.03007833000001,69.03007833000001,92.06744987799932,45.992706782000695
2,3,78.14941051,95,50,60,60.90079102078572,81.92650283251335,39.875079209058086,72.06985572333333,72.06985572333333,94.24928900684965,49.890422439817016
3,4,54.01548411,95,50,60,60.90079102078572,81.92650283251335,39.875079209058086,67.55626282,67.55626282,88.57241959673392,46.54010604326608
4,5,24.93109723,95,50,60,60.90079102078572,81.92650283251335,39.875079209058086,59.031229702,59.031229702,78.93786725558667,39.12459214841332
5,6,69.37226849,95,50,60,60.90079102078572,81.92650283251335,39.875079209058086,60.75473616666667,63.932545292,79.68953197091635,41.819940362416986
6,7,75.0,95,50,60,60.90079102078572,81.92650283251335,39.875079209058086,62.789773857142855,60.29365206799999,80.56006576621327,45.01948194807244
7,8,80.0,95,50,60,60.90079102078572,81.92650283251335,39.875079209058086,64.941052125,60.663769966,80.79790173919676,49.08420251080324
8,9,75.0,95,50,60,60.90079102078572,81.92650283251335,39.875079209058086,66.058713,64.860673144,81.35980874967045,50.75761725032954
9,10,60.0,95,50,60,60.90079102078572,81.92650283251335,39.875079209058086,65.4528417,71.874453698,80.42536747727372,50.48031592272626
10,11,70.0,95,50,60,60.90079102078572,81.92650283251335,39.875079209058086,65.86621972727272,72.0,72.36633381954867,59.36610563499677
11,12,60.0,95,50,60,60.90079102078572,81.92650283251335,39.875079209058086,67.24206604181818,69.0,74.4720540966304,60.01207798700595
12,13,75.0,95,50,60,60.90079102078572,81.92650283251335,39.875079209058086,65.58802366727274,68.0,73.98174426391793,57.19430307062755
13,14,65.0,95,50,60,60.90079102078572,81.92650283251335,39.875079209058086,64.39262271181818,66.0,72.28392978179889,56.50131564183747
14,15,70.0,95,50,60,60.90079102078572,81.92650283251335,39.875079209058086,65.84576052,68.0,78.91791987686668,52.77360116313332
